"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.45898355765391e-20,0.598373382010974,0.367,0.142,1.13741756326334e-15,"2","Gpr85"
3.52651271930227e-20,0.476645784110016,0.3,0.109,1.15962317748816e-15,"2","Med25"
3.62560724669142e-20,0.28987826784718,0.308,0.114,1.19220843092954e-15,"2","Zfp282"
3.71526138869901e-20,0.125451307617119,0.448,0.192,1.2216894024459e-15,"2","Zswim8"
3.75453761798773e-20,0.362412149029307,0.793,0.411,1.23460460492291e-15,"2","Micu2"
3.89444959842636e-20,0.481436338641342,0.364,0.149,1.28061186145054e-15,"2","LOC680039"
3.91322150356414e-20,0.509767674433751,0.838,0.491,1.28678462701699e-15,"2","Chd9"
4.1106466996045e-20,0.264578172047159,0.681,0.336,1.35170395423095e-15,"2","AC105531.1"
4.32816396701745e-20,0.103559267917454,0.373,0.15,1.42323015727435e-15,"2","Armc1"
4.54407122657201e-20,0.373671582512962,0.513,0.233,1.49422694143367e-15,"2","Ppp2r2c"
4.5562464252325e-20,0.372790291286627,0.709,0.344,1.4982305120092e-15,"2","Txnl1"
4.74646562931309e-20,0.216308905313069,0.384,0.156,1.56078029288702e-15,"2","Farsa"
4.78887415536694e-20,0.794286024509811,0.37,0.154,1.57472548850931e-15,"2","Mrps25"
4.8150821413102e-20,0.171272567074927,0.389,0.161,1.58334346052703e-15,"2","Cwc25"
4.8231267896639e-20,0.455783424517269,0.44,0.193,1.58598878224518e-15,"2","Thoc7"
5.04236757603061e-20,0.524333199389752,0.429,0.184,1.65808173002615e-15,"2","Bax"
5.22622354932222e-20,0.245973324804033,0.762,0.355,1.71853908972363e-15,"2","Rpl13"
5.38741358091412e-20,0.604093635236695,0.275,0.095,1.77154320781199e-15,"2","Mrpl51"
5.55585641432414e-20,0.879900706684507,0.325,0.129,1.82693226472221e-15,"2","Rpp21"
5.58822311692828e-20,0.325613349743101,0.787,0.372,1.83757540753953e-15,"2","Vamp1"
5.7537236298473e-20,0.26267753518776,0.451,0.2,1.89199694120269e-15,"2","Ccm2"
5.78372941661415e-20,0.106760727790999,0.602,0.282,1.90186374406523e-15,"2","Arel1"
6.27943224666398e-20,0.25019596846025,0.261,0.087,2.06486570567052e-15,"2","RGD1306072"
6.58538751928045e-20,0.38242409724651,0.339,0.132,2.16547297796499e-15,"2","Ppil3"
6.67102735363756e-20,0.176769754937642,0.289,0.103,2.19363392469664e-15,"2","Rnf25"
6.67565835995668e-20,0.536605214181905,0.896,0.577,2.19515673850456e-15,"2","Nfat5"
6.7397110560231e-20,0.10501166172148,0.389,0.16,2.21621918655208e-15,"2","Slc16a7"
6.78159019584484e-20,0.34449133904504,0.521,0.235,2.22999030409966e-15,"2","Cdc37"
6.79282947152545e-20,0.111929375774615,0.35,0.136,2.23368611512171e-15,"2","Lactb"
7.02002882344937e-20,0.204358036386421,0.515,0.234,2.30839607801486e-15,"2","Fbxo11"
7.12632175976726e-20,0.30599152364259,0.431,0.179,2.34334838426427e-15,"2","Mmp2"
7.4505061559729e-20,0.121816669816482,0.322,0.12,2.44994993926857e-15,"2","Kmt5c"
7.47647960579898e-20,0.216805662992498,0.524,0.238,2.45849078877488e-15,"2","Rpap3"
7.59720921140742e-20,0.252015599709179,0.697,0.342,2.4981903049871e-15,"2","Brd7"
7.88209920194946e-20,0.54906611371833,0.266,0.092,2.59187068057704e-15,"2","Mrpl4"
8.12600391632456e-20,0.496018462109524,0.325,0.125,2.67207386780501e-15,"2","Pnrc1"
8.48353832861787e-20,0.122852280439609,0.479,0.212,2.78964190859941e-15,"2","Kdm4b"
8.65591541293316e-20,0.218143101836264,0.462,0.205,2.84632466523481e-15,"2","Cops7a"
8.8027793422643e-20,0.283749085747256,0.776,0.428,2.89461793111677e-15,"2","Ptprm"
8.89029310090246e-20,0.18222064207266,0.552,0.24,2.92339508036976e-15,"2","Nrn1"
9.00303169324316e-20,0.168311671865941,0.319,0.12,2.96046691168915e-15,"2","Khsrp"
9.20321766808429e-20,0.373673624318846,0.269,0.094,3.02629406579616e-15,"2","Nudcd1"
9.2162520944471e-20,0.380307142489092,0.857,0.471,3.03058017621704e-15,"2","Vps13c"
9.25533541574993e-20,0.31935893305625,0.723,0.371,3.04343194476105e-15,"2","Ldlrad4"
9.27010170057941e-20,0.115284965772842,0.583,0.262,3.04828754220153e-15,"2","Ndufa8"
9.32410387779658e-20,0.35912672044107,0.546,0.247,3.06604507813585e-15,"2","Nus1"
9.39851458971711e-20,0.308663006769502,0.527,0.237,3.09051355253668e-15,"2","Cbx6"
9.55953655897209e-20,0.592914195623288,0.88,0.606,3.14346240668679e-15,"2","Dlc1"
1.02702105288504e-19,0.413154852356126,0.35,0.142,3.37715332820187e-15,"2","Pogk"
1.06749508443158e-19,0.104465232526414,0.373,0.148,3.51024408613636e-15,"2","Atr"
1.09282628833262e-19,0.665007709715327,0.854,0.485,3.59354068392414e-15,"2","AABR07019086.1"
1.09496392674109e-19,0.421653854323822,0.35,0.14,3.60056988030273e-15,"2","Farsb"
1.23919774456099e-19,0.288621008278645,0.868,0.625,4.0748539434399e-15,"2","Tcf4"
1.24487584083693e-19,0.153599286506287,0.462,0.202,4.09352522742407e-15,"2","Ndufa7"
1.33343810094813e-19,0.288584558055479,0.546,0.255,4.38474450734773e-15,"2","Stard7"
1.3441415033485e-19,0.61488348081544,0.333,0.133,4.41994050546088e-15,"2","Mrps12"
1.34736774926002e-19,0.218977595205907,0.709,0.35,4.43054936989172e-15,"2","Zzef1"
1.35439770492353e-19,0.313832370466169,0.529,0.244,4.45366597310006e-15,"2","Mrps21"
1.40259886515019e-19,0.10032294207453,0.373,0.15,4.61216584827335e-15,"2","Fuz"
1.40366258743941e-19,0.365652996693982,0.742,0.372,4.61566368627702e-15,"2","Anxa2"
1.43674214052961e-19,0.675769244133118,0.403,0.175,4.72443918070351e-15,"2","Mea1"
1.4564134471978e-19,0.246507198696556,0.471,0.21,4.78912433842052e-15,"2","U2af1"
1.48065827589512e-19,0.178120056727929,0.599,0.284,4.86884860862593e-15,"2","Marchf6"
1.49936627493224e-19,0.257365893673193,0.277,0.098,4.93036612185967e-15,"2","Grpel2"
1.50598044971258e-19,0.335987156728939,0.616,0.28,4.95211551278987e-15,"2","Abhd12"
1.52431682757496e-19,1.08941641499889,0.294,0.112,5.01241102411475e-15,"2","Mrps36"
1.53387725107905e-19,0.213965579356927,0.563,0.265,5.04384856472323e-15,"2","Gtf3c1"
1.55401364456071e-19,0.241437479809402,0.725,0.362,5.11006306740897e-15,"2","Ppp3cc"
1.63773988527367e-19,0.247881738439313,0.255,0.086,5.38538006474541e-15,"2","RGD1565222"
1.64332269359685e-19,0.217292626196461,0.359,0.144,5.40373801335453e-15,"2","Rnf44"
1.67151858351454e-19,0.505708723310986,0.905,0.568,5.49645455817086e-15,"2","Nsd3"
1.69135113719392e-19,0.4500504089,0.852,0.485,5.56166994443478e-15,"2","Rbm6"
1.69205600164563e-19,0.410526798604336,0.711,0.355,5.56398775021133e-15,"2","Capn2"
1.70491554295233e-19,0.433083138590153,0.745,0.371,5.60627377989016e-15,"2","Capn5"
1.71200690178533e-19,0.223028251964977,0.507,0.229,5.6295922951407e-15,"2","Vps29"
1.71581033502701e-19,0.564939771115913,0.378,0.16,5.64209912466932e-15,"2","Slc5a6"
1.73439866865747e-19,0.196395691341526,0.538,0.232,5.70322314214635e-15,"2","Sec11a"
1.83508093178803e-19,0.289224571424982,0.613,0.289,6.03429662799857e-15,"2","Ormdl2"
1.98192456153867e-19,0.224750465585642,0.286,0.102,6.5171625357076e-15,"2","LOC687679"
2.02484375630825e-19,0.254380241860254,0.336,0.131,6.65829372386841e-15,"2","LOC108349244"
2.09510463217086e-19,0.217118869512005,0.541,0.251,6.88933256196744e-15,"2","Aars"
2.12151189803576e-19,1.66469454271742,0.266,0.097,6.976167574311e-15,"2","Cd55"
2.16630268424179e-19,0.914840768700416,0.322,0.128,7.12345311659227e-15,"2","Smim12"
2.41463774034483e-19,0.424274905991151,0.359,0.146,7.9400532815759e-15,"2","Smim7"
2.41497773492493e-19,0.233015872291837,0.465,0.201,7.94117128575364e-15,"2","Slc35a2"
2.54398466040586e-19,0.384124006026744,0.409,0.175,8.36538475881257e-15,"2","Dhcr7"
2.67192280085346e-19,0.118144771306509,0.501,0.228,8.78608374604642e-15,"2","Mast3"
2.7001227519047e-19,0.293720682762355,0.734,0.339,8.87881364508823e-15,"2","Bex3"
2.73834455813295e-19,0.598657640171147,0.353,0.145,9.00449841050859e-15,"2","Apbb3"
2.94490531156635e-19,0.253620699453304,0.347,0.14,9.68373213602363e-15,"2","Prepl"
2.99006607838869e-19,1.02316258740089,0.28,0.104,9.83223428556554e-15,"2","Tmem229b"
2.99630686806015e-19,1.13612146102753,0.319,0.128,9.85275587424219e-15,"2","B3galt1"
3.15286253829287e-19,0.260244803619673,0.409,0.175,1.03675578846684e-14,"2","Rdx"
3.25423087569337e-19,0.398317490535741,0.79,0.415,1.07008873885425e-14,"2","Lrba"
3.27740992372737e-19,0.163799292683056,0.639,0.31,1.07771070521927e-14,"2","Scfd1"
3.50969132687262e-19,0.269287732779241,0.471,0.204,1.15409179901552e-14,"2","Tprg1l"
3.61521837481907e-19,0.252177169289267,0.784,0.367,1.18879225819175e-14,"2","Sub1"
3.61889464887347e-19,0.481440157449801,0.445,0.197,1.19000112738906e-14,"2","Hid1"
3.77182911091614e-19,0.476190374703764,0.429,0.184,1.24029056654256e-14,"2","Tm2d2"
3.98297650098421e-19,0.7970278136384,0.3,0.116,1.30972216281864e-14,"2","Dgkq"
4.03510711852207e-19,0.439282855148511,0.381,0.16,1.32686427378361e-14,"2","Actr6"
4.13354794656087e-19,0.5834638879276,0.325,0.129,1.35923457126761e-14,"2","Hsd17b7"
4.20954219473459e-19,0.204235728788588,0.277,0.099,1.38422375989458e-14,"2","Trmt1"
4.26503304131151e-19,0.152359493587732,0.289,0.105,1.40247081497446e-14,"2","Idnk"
4.40915628792821e-19,0.214594794772955,0.611,0.287,1.44986286215943e-14,"2","LOC100362432"
4.50743877049984e-19,0.449098916568719,0.465,0.199,1.48218109090346e-14,"2","Wdr6"
4.62260190717913e-19,0.313026784622789,0.941,0.522,1.52005018513771e-14,"2","Basp1"
4.98668389103498e-19,0.391529224099782,0.457,0.207,1.63977126388903e-14,"2","Erg28"
5.34491692504124e-19,0.460762226050884,0.804,0.419,1.75756903246131e-14,"2","Agap3"
5.49426314472192e-19,0.521659998266942,0.751,0.4,1.80667854987891e-14,"2","Tbcd"
5.52543105778201e-19,0.34806377833869,0.451,0.194,1.81692749473046e-14,"2","B3gnt2"
5.57916709280794e-19,0.280983692838872,0.768,0.395,1.83459751512804e-14,"2","Rasa2"
5.80683981630157e-19,0.76661058103703,0.252,0.088,1.90946313679445e-14,"2","Meis3"
5.81935854766778e-19,0.221553272475365,0.403,0.173,1.9135796712296e-14,"2","Mib2"
